Season,Game Type,Team,#,Name,Position,G,PA,AB,BA,OBP,SLG,OPS,R,RBI,H,1B,2B,3B,HR,TB,SB,CS,BB,IBB,K,DP,DB,SH,SF,PlayerID
2002,Regular Season,Chiba Lotte Marines,44,"Yoshitsuru, Kenji",PH,28,36,33,0.212,0.250,0.242,0.492,3,2,7,6,1,0,0,8,0,0,2,0,5,0,0,0,1,01403887
2002,Regular Season,Hanshin Tigers,21,"Yoshino, Makoto",P,35,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01405111
2002,Regular Season,Chunichi Dragons,25,"Maeda, Shingo",SS,3,4,4,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,01405115
2002,Regular Season,Yokohama BayStars,21,"Nomura, Hiroki",P,3,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,01503866
2002,Japan Series,Yomiuri Giants,37,"Saito, Takayuki",PH,3,,7,0.571,,1.000,,,3,4,3,0,0,1,7,1,,0,,1,,,,,01503880
2002,Regular Season,Yomiuri Giants,37,"Saito, Takayuki",PH,109,252,239,0.310,0.339,0.435,0.774,37,37,74,55,13,1,5,104,5,6,10,0,26,6,1,1,1,01503880
2002,Regular Season,Chunichi Dragons,0,"Kuriyama, Satoshi",P,4,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01503884
2002,Regular Season,Chunichi Dragons,57,"Kuramoto, Hidenori",CF,72,123,115,0.270,0.292,0.383,0.675,17,13,31,23,5,1,2,44,2,2,4,0,28,1,0,3,1,01503888
2002,Regular Season,Yomiuri Giants,40,"Sato, Hiroshi",P,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01505111
2002,Regular Season,Chiba Lotte Marines,13,"Yoshida, Atsushi",P,40,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01603885
2002,Japan Series,Seibu Lions,17,"Hsu, Ming-Chieh",P,1,,0,0.000,,0.000,,,0,0,0,0,0,0,0,0,,0,,0,,,,,01605111
2002,Regular Season,Seibu Lions,17,"Hsu, Ming-Chieh",P,20,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01605111
2002,Regular Season,Orix Bluewave,56,"Yamamoto, Takuji",P,28,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01605115
2002,Regular Season,Chunichi Dragons,23,"Sekikawa, Koichi",CF,73,137,118,0.212,0.258,0.288,0.546,13,13,25,17,7,1,0,34,4,2,8,1,24,1,0,9,2,01703883
2002,Regular Season,Chiba Lotte Marines,8,"Shimizu, Masaumi",C,92,276,253,0.257,0.279,0.336,0.615,14,24,65,48,15,1,1,85,0,3,7,1,44,4,2,11,3,01703884
2002,Regular Season,Yomiuri Giants,66,"Takano, Shinobu",PH,3,2,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,01703888
2002,Regular Season,Orix Bluewave,62,"Tamaki, Tomotaka",2B,49,48,43,0.302,0.348,0.326,0.674,6,5,13,12,1,0,0,14,0,0,2,0,12,0,1,2,0,01703889
2002,Regular Season,Yokohama BayStars,48,"Goto, Shinya",P,8,8,6,0.000,0.250,0.000,0.250,1,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,01705113
2002,Regular Season,Yokohama BayStars,42,"Turman, Jason",P,9,3,3,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,01805115
2002,Regular Season,Hanshin Tigers,47,"Ito, Atsunori",P,20,2,2,0.500,0.500,0.500,1.000,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,01903866
2002,Regular Season,Nippon-Ham Fighters,43,"Harada, Masahiko",RF,3,8,5,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,01903880
2002,Regular Season,Hanshin Tigers,1,"Taninaka, Shinji",P,41,27,23,0.217,0.217,0.217,0.434,2,0,5,5,0,0,0,5,0,0,0,0,7,0,0,4,0,01903884
2002,Regular Season,Orix Bluewave,21,"Tanaka, Yuki",P,13,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01903886
2002,Japan Series,Yomiuri Giants,7,"Nioka, Tomohiro",SS,4,,19,0.474,,0.737,,,5,9,6,2,0,1,14,1,,0,,4,,,,,01903888
2002,Regular Season,Yomiuri Giants,7,"Nioka, Tomohiro",SS,112,444,398,0.281,0.329,0.520,0.849,64,67,112,66,21,1,24,207,3,2,27,0,79,7,2,16,1,01903888
2002,Regular Season,Hiroshima Toyo Carp,54,"Tomabechi, Tetsuto",P,21,16,14,0.071,0.071,0.071,0.142,0,2,1,1,0,0,0,1,0,0,0,0,8,0,0,2,0,01905111
2002,Regular Season,Yokohama BayStars,30,"Tazaki, Masahiro",P,2,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01905115
2002,Regular Season,Yomiuri Giants,25,"Wasdin, John",P,10,12,9,0.000,0.100,0.000,0.100,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,03105115
2002,Regular Season,Chunichi Dragons,44,"Linares, Omar",1B,16,51,46,0.174,0.255,0.239,0.494,2,5,8,7,0,0,1,11,0,0,5,0,19,1,0,0,0,03305115
2002,Japan Series,Yomiuri Giants,23,"Yoshinaga, Koichiro",PH,1,,0,0.000,,0.000,,,0,0,0,0,0,0,0,0,,1,,0,,,,,03703868
2002,Regular Season,Yomiuri Giants,23,"Yoshinaga, Koichiro",PH,26,26,24,0.208,0.269,0.458,0.727,2,3,5,3,0,0,2,11,0,0,1,0,7,1,1,0,0,03703868
2002,Regular Season,Seibu Lions,57,"Ueda, Hiroaki",3B,95,79,66,0.197,0.250,0.212,0.462,12,3,13,12,1,0,0,14,3,3,4,0,13,1,1,7,1,05303868
2002,Regular Season,Hanshin Tigers,45,"Hirashita, Koji",LF,89,204,194,0.253,0.281,0.345,0.626,23,18,49,37,9,0,3,67,5,1,7,0,53,2,1,1,1,11013882
2002,Regular Season,Hanshin Tigers,25,"Hamanaka, Osamu",LF,102,404,366,0.301,0.356,0.511,0.867,60,51,110,71,19,2,18,187,8,4,28,1,58,7,6,0,4,11013884
2002,Regular Season,Yakult Swallows,13,"Teramura, Tomokazu",P,17,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11013886
2002,Regular Season,Yokohama BayStars,45,"Fukumoto, Makoto",2B,36,88,70,0.271,0.342,0.286,0.628,9,8,19,18,1,0,0,20,2,3,6,0,12,1,2,9,1,11013888
2002,Regular Season,Osaka Kintetsu Buffaloes,2,"Matoyama, Tetsuya",C,91,227,192,0.208,0.275,0.297,0.572,17,14,40,29,8,0,3,57,3,2,14,0,39,3,4,16,1,11013889
2002,Regular Season,Chiba Lotte Marines,45,"Tsuji, Toshiya",C,41,94,82,0.207,0.241,0.293,0.534,6,8,17,12,4,0,1,24,0,0,4,0,23,3,0,7,1,11015115
2002,Regular Season,Hanshin Tigers,3,"Yagi, Hiroshi",PH,64,80,67,0.284,0.350,0.433,0.783,3,24,19,15,1,0,3,29,0,1,7,2,14,0,2,0,4,11213864
2002,Regular Season,Hiroshima Toyo Carp,23,"Yokoyama, Ryuji",P,6,12,11,0.091,0.091,0.091,0.182,0,1,1,1,0,0,0,1,0,0,0,0,5,0,0,1,0,11213880
2002,Regular Season,Osaka Kintetsu Buffaloes,26,"Misawa, Koichi",P,53,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11213884
2002,Regular Season,Hiroshima Toyo Carp,53,"Hayashi, Masaki",P,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11213886
2002,Regular Season,Fukuoka Daiei Hawks,12,"Matsu, Nobuyasu",P,7,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11213888
2002,Regular Season,Fukuoka Daiei Hawks,34,"Yoshitake, Shintaro",P,6,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11213889
2002,Regular Season,Hanshin Tigers,67,"Matsuda, Masashi",PH,18,16,15,0.133,0.188,0.200,0.388,2,0,2,1,1,0,0,3,0,0,0,0,5,0,1,0,0,11215111
2002,Japan Series,Seibu Lions,46,"Noda, Kosuke",C,2,,2,0.000,,0.000,,,0,0,0,0,0,0,0,0,,0,,0,,,,,11215113
2002,Regular Season,Seibu Lions,46,"Noda, Kosuke",C,33,48,47,0.191,0.208,0.213,0.421,4,2,9,8,1,0,0,10,0,1,0,0,13,1,1,0,0,11215113
