Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
2025,Regular Season,Tohoku Rakuten Golden Eagles,32,"<a href=""https://proeyekyuu.com/player/?PlayerID=21425159"">Nakashima, Daisuke</a>",OF,124,0.993,301,3,2,1,,21425159
2025,Regular Season,Chiba Lotte Marines,19,"<a href=""https://proeyekyuu.com/player/?PlayerID=21525116"">Karakawa, Yuki</a>",P,2,1.000,0,2,0,0,,21525116
2025,Regular Season,Tokyo Yakult Swallows,38,"<a href=""https://proeyekyuu.com/player/?PlayerID=21525136"">Kitamura, Takumi</a>",2B,8,1.000,3,5,0,3,,21525136
2025,Regular Season,Tokyo Yakult Swallows,38,"<a href=""https://proeyekyuu.com/player/?PlayerID=21525136"">Kitamura, Takumi</a>",3B,30,0.933,9,19,2,0,,21525136
2025,Regular Season,Tokyo Yakult Swallows,38,"<a href=""https://proeyekyuu.com/player/?PlayerID=21525136"">Kitamura, Takumi</a>",P,1,0.000,0,0,0,0,,21525136
2025,Regular Season,Tokyo Yakult Swallows,38,"<a href=""https://proeyekyuu.com/player/?PlayerID=21525136"">Kitamura, Takumi</a>",SS,17,0.985,27,39,1,7,,21525136
2025,Regular Season,Chunichi Dragons,41,"<a href=""https://proeyekyuu.com/player/?PlayerID=21525138"">Katsuno, Akiyoshi</a>",P,25,1.000,1,5,0,0,,21525138
2025,Regular Season,Tohoku Rakuten Golden Eagles,41,"<a href=""https://proeyekyuu.com/player/?PlayerID=21525139"">Kajiya, Ren</a>",P,54,0.833,2,3,1,2,,21525139
2025,Regular Season,Yokohama DeNA Baystars,37,"<a href=""https://proeyekyuu.com/player/?PlayerID=21525150"">Kato, Hibiki</a>",2B,2,1.000,2,6,0,0,,21525150
2025,Regular Season,Yokohama DeNA Baystars,37,"<a href=""https://proeyekyuu.com/player/?PlayerID=21525150"">Kato, Hibiki</a>",3B,3,1.000,2,5,0,1,,21525150
2025,Regular Season,Hiroshima Toyo Carp,36,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625130"">Horie, Atsuya</a>",P,28,1.000,3,7,0,0,,21625130
2025,Climax Series - First Stage,Orix Buffaloes,30,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625132"">Hirooka, Taishi</a>",OF,2,1.000,1,0,0,0,,21625132
2025,Regular Season,Orix Buffaloes,30,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625132"">Hirooka, Taishi</a>",1B,16,1.000,42,1,0,2,,21625132
2025,Regular Season,Orix Buffaloes,30,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625132"">Hirooka, Taishi</a>",3B,39,0.945,26,60,5,5,,21625132
2025,Regular Season,Orix Buffaloes,30,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625132"">Hirooka, Taishi</a>",OF,75,0.985,126,3,2,2,,21625132
2025,Regular Season,Orix Buffaloes,30,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625132"">Hirooka, Taishi</a>",SS,1,0.750,2,1,1,0,,21625132
2025,Regular Season,Chunichi Dragons,54,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625134"">Fujishima, Kento</a>",P,60,1.000,5,11,0,1,,21625134
2025,Climax Series - Final Stage,Hokkaido Nippon-Ham Fighters,7,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625135"">Matsumoto, Go</a>",OF,3,1.000,3,0,0,0,,21625135
2025,Climax Series - First Stage,Hokkaido Nippon-Ham Fighters,7,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625135"">Matsumoto, Go</a>",OF,2,1.000,3,0,0,0,,21625135
2025,Regular Season,Hokkaido Nippon-Ham Fighters,7,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625135"">Matsumoto, Go</a>",OF,57,0.979,92,1,2,0,,21625135
2025,Regular Season,Chiba Lotte Marines,6,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625150"">Nishikawa, Misho</a>",OF,103,0.991,210,9,2,2,,21625150
2025,Regular Season,Yomiuri Giants,91,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625151"">Hotta, Kenshin</a>",P,8,1.000,3,7,0,2,,21625151
2025,Regular Season,Chunichi Dragons,97,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625157"">Higuchi, Seishu</a>",2B,14,0.978,22,23,1,6,,21625157
2025,Regular Season,Chunichi Dragons,97,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625157"">Higuchi, Seishu</a>",3B,3,1.000,0,1,0,0,,21625157
2025,Regular Season,Chunichi Dragons,97,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625157"">Higuchi, Seishu</a>",OF,2,0.000,0,0,0,0,,21625157
2025,Regular Season,Chunichi Dragons,97,"<a href=""https://proeyekyuu.com/player/?PlayerID=21625157"">Higuchi, Seishu</a>",SS,1,1.000,1,1,0,1,,21625157
2025,Climax Series - Final Stage,Hokkaido Nippon-Ham Fighters,48,"<a href=""https://proeyekyuu.com/player/?PlayerID=21725138"">Saito, Yukiya</a>",P,2,1.000,1,0,0,0,,21725138
2025,Climax Series - First Stage,Hokkaido Nippon-Ham Fighters,48,"<a href=""https://proeyekyuu.com/player/?PlayerID=21725138"">Saito, Yukiya</a>",P,2,0.000,0,0,0,0,,21725138
2025,Regular Season,Hokkaido Nippon-Ham Fighters,48,"<a href=""https://proeyekyuu.com/player/?PlayerID=21725138"">Saito, Yukiya</a>",P,47,1.000,1,4,0,1,,21725138
2025,Regular Season,Tohoku Rakuten Golden Eagles,66,"<a href=""https://proeyekyuu.com/player/?PlayerID=21725139"">Konno, Ryuta</a>",P,42,1.000,0,6,0,0,,21725139
2025,Regular Season,Saitama Seibu Lions,57,"<a href=""https://proeyekyuu.com/player/?PlayerID=21725155"">Kuroda, Masaya</a>",P,8,1.000,0,1,0,0,,21725155
2025,Regular Season,Orix Buffaloes,95,"<a href=""https://proeyekyuu.com/player/?PlayerID=21725157"">Saiki, Kaito</a>",P,38,1.000,5,5,0,0,,21725157
2025,Regular Season,Tohoku Rakuten Golden Eagles,17,"<a href=""https://proeyekyuu.com/player/?PlayerID=21725159"">Koja, Tatsuki</a>",P,19,0.929,2,11,1,0,,21725159
2025,Climax Series - Final Stage,Hokkaido Nippon-Ham Fighters,18,"<a href=""https://proeyekyuu.com/player/?PlayerID=21825130"">Yamasaki, Sachiya</a>",P,2,1.000,0,1,0,0,,21825130
2025,Regular Season,Hokkaido Nippon-Ham Fighters,18,"<a href=""https://proeyekyuu.com/player/?PlayerID=21825130"">Yamasaki, Sachiya</a>",P,20,1.000,7,20,0,1,,21825130
2025,Regular Season,Saitama Seibu Lions,35,"<a href=""https://proeyekyuu.com/player/?PlayerID=21825134"">Matsubara, Seiya</a>",OF,8,1.000,12,0,0,0,,21825134
2025,Regular Season,Saitama Seibu Lions,4,"<a href=""https://proeyekyuu.com/player/?PlayerID=21825138"">Yamanobe, Kakeru</a>",2B,2,1.000,1,5,0,1,,21825138
2025,Regular Season,Tokyo Yakult Swallows,37,"<a href=""https://proeyekyuu.com/player/?PlayerID=21825138"">Yamanobe, Kakeru</a>",2B,3,1.000,2,2,0,0,,21825138
2025,Regular Season,Tokyo Yakult Swallows,37,"<a href=""https://proeyekyuu.com/player/?PlayerID=21825138"">Yamanobe, Kakeru</a>",3B,4,0.909,3,7,1,2,,21825138
2025,Regular Season,Yomiuri Giants,66,"<a href=""https://proeyekyuu.com/player/?PlayerID=21825153"">Heinai, Ryuta</a>",P,12,1.000,2,2,0,1,,21825153
2025,Climax Series - Final Stage,Hanshin Tigers,58,"<a href=""https://proeyekyuu.com/player/?PlayerID=21825155"">Maegawa, Ukyo</a>",OF,2,1.000,3,0,0,0,,21825155
2025,Japan Series,Hanshin Tigers,58,"<a href=""https://proeyekyuu.com/player/?PlayerID=21825155"">Maegawa, Ukyo</a>",OF,1,1.000,2,0,0,0,,21825155
2025,Regular Season,Hanshin Tigers,58,"<a href=""https://proeyekyuu.com/player/?PlayerID=21825155"">Maegawa, Ukyo</a>",1B,1,1.000,3,0,0,0,,21825155
2025,Regular Season,Hanshin Tigers,58,"<a href=""https://proeyekyuu.com/player/?PlayerID=21825155"">Maegawa, Ukyo</a>",OF,52,1.000,72,1,0,0,,21825155
2025,Climax Series - Final Stage,Yokohama DeNA Baystars,5,"<a href=""https://proeyekyuu.com/player/?PlayerID=21825157"">Matsuo, Shion</a>",C,2,1.000,3,1,0,0,0,21825157
2025,Regular Season,Yokohama DeNA Baystars,5,"<a href=""https://proeyekyuu.com/player/?PlayerID=21825157"">Matsuo, Shion</a>",C,43,0.991,292,46,3,3,1,21825157
2025,Regular Season,Yomiuri Giants,43,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925132"">Shigenobu, Shinnosuke</a>",OF,9,1.000,2,0,0,0,,21925132
2025,Climax Series - Final Stage,Fukuoka Softbank Hawks,23,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925136"">Shuto, Ukyo</a>",OF,6,1.000,10,0,0,0,,21925136
2025,Japan Series,Fukuoka Softbank Hawks,23,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925136"">Shuto, Ukyo</a>",OF,5,1.000,20,0,0,0,,21925136
2025,Regular Season,Fukuoka Softbank Hawks,23,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925136"">Shuto, Ukyo</a>",OF,96,0.984,249,5,4,2,,21925136
2025,Regular Season,Tokyo Yakult Swallows,40,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925139"">Takanashi, Hirotoshi</a>",P,17,0.857,3,9,2,0,,21925139
2025,Regular Season,Saitama Seibu Lions,2,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925150"">Saito, Hiroto</a>",SS,4,1.000,7,7,0,3,,21925150
2025,Climax Series - Final Stage,Hokkaido Nippon-Ham Fighters,30,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925151"">Gunji, Yuya</a>",3B,5,1.000,2,6,0,0,,21925151
2025,Climax Series - Final Stage,Hokkaido Nippon-Ham Fighters,30,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925151"">Gunji, Yuya</a>",OF,2,1.000,2,0,0,0,,21925151
2025,Climax Series - First Stage,Hokkaido Nippon-Ham Fighters,30,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925151"">Gunji, Yuya</a>",3B,2,1.000,0,2,0,0,,21925151
2025,Regular Season,Hokkaido Nippon-Ham Fighters,30,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925151"">Gunji, Yuya</a>",1B,26,0.989,165,16,2,8,,21925151
2025,Regular Season,Hokkaido Nippon-Ham Fighters,30,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925151"">Gunji, Yuya</a>",3B,46,0.975,24,54,2,2,,21925151
2025,Regular Season,Hokkaido Nippon-Ham Fighters,30,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925151"">Gunji, Yuya</a>",C,22,0.983,109,4,2,0,0,21925151
2025,Regular Season,Hokkaido Nippon-Ham Fighters,30,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925151"">Gunji, Yuya</a>",OF,14,1.000,24,1,0,0,,21925151
2025,Regular Season,Orix Buffaloes,27,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925153"">Gen, Kendai</a>",OF,25,1.000,12,1,0,1,,21925153
2025,Regular Season,Yomiuri Giants,009,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925155"">Sasahara, Misaki</a>",OF,9,1.000,6,0,0,0,,21925155
2025,Regular Season,Tohoku Rakuten Golden Eagles,19,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925157"">Shoji, Kosei</a>",P,13,0.833,0,5,1,1,,21925157
2025,Regular Season,Hanshin Tigers,26,"<a href=""https://proeyekyuu.com/player/?PlayerID=21925159"">Shiiba, Tsuyoshi</a>",P,3,0.000,0,0,0,0,,21925159
2025,Regular Season,Saitama Seibu Lions,10,"<a href=""https://proeyekyuu.com/player/?PlayerID=23025150"">Davis, Jonathan</a>",3B,28,0.936,11,33,3,3,,23025150
2025,Climax Series - Final Stage,Yokohama DeNA Baystars,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=23125136"">Yamamoto, Yuudai</a>",C,3,1.000,22,5,0,0,0,23125136
2025,Climax Series - First Stage,Yokohama DeNA Baystars,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=23125136"">Yamamoto, Yuudai</a>",C,2,1.000,16,3,0,1,0,23125136
2025,Regular Season,Yokohama DeNA Baystars,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=23125136"">Yamamoto, Yuudai</a>",C,93,0.996,635,68,3,5,4,23125136
2025,Regular Season,Chiba Lotte Marines,60,"<a href=""https://proeyekyuu.com/player/?PlayerID=23125151"">Yokoyama, Rikuto</a>",P,50,1.000,1,3,0,0,,23125151
2025,Regular Season,Saitama Seibu Lions,70,"<a href=""https://proeyekyuu.com/player/?PlayerID=23125153"">Mameda, Taishi</a>",P,3,0.000,0,0,0,0,,23125153
2025,Regular Season,Chunichi Dragons,69,"<a href=""https://proeyekyuu.com/player/?PlayerID=23125155"">Miura, Mizuki</a>",P,7,0.818,3,6,2,0,,23125155
2025,Regular Season,Saitama Seibu Lions,73,"<a href=""https://proeyekyuu.com/player/?PlayerID=23125157"">Higuma, Montell</a>",OF,11,1.000,7,1,0,0,,23125157
2025,Regular Season,Yokohama DeNA Baystars,34,"<a href=""https://proeyekyuu.com/player/?PlayerID=23125159"">Matsumoto, Ryoto</a>",P,4,1.000,2,0,0,0,,23125159
2025,Climax Series - First Stage,Yomiuri Giants,49,"<a href=""https://proeyekyuu.com/player/?PlayerID=23225157"">Baldonado, Alberto</a>",P,2,1.000,0,1,0,0,,23225157
2025,Regular Season,Yomiuri Giants,49,"<a href=""https://proeyekyuu.com/player/?PlayerID=23225157"">Baldonado, Alberto</a>",P,19,0.667,0,2,1,0,,23225157
2025,Regular Season,Chiba Lotte Marines,33,"<a href=""https://proeyekyuu.com/player/?PlayerID=23325155"">Yagi, Akira</a>",P,27,1.000,1,1,0,0,,23325155
2025,Regular Season,Tokyo Yakult Swallows,13,"<a href=""https://proeyekyuu.com/player/?PlayerID=23525153"">Osuna, Jose</a>",1B,141,0.994,1114,73,7,82,,23525153
2025,Regular Season,Tohoku Rakuten Golden Eagles,31,"<a href=""https://proeyekyuu.com/player/?PlayerID=23525157"">Watanabe, Shota</a>",P,26,1.000,0,4,0,0,,23525157
2025,Regular Season,Tohoku Rakuten Golden Eagles,15,"<a href=""https://proeyekyuu.com/player/?PlayerID=23725150"">Howard, Spencer</a>",P,9,1.000,2,3,0,0,,23725150
2025,Climax Series - First Stage,Yomiuri Giants,92,"<a href=""https://proeyekyuu.com/player/?PlayerID=23925134"">Martinez, Raidel</a>",P,1,0.000,0,0,0,0,,23925134
2025,Regular Season,Yomiuri Giants,92,"<a href=""https://proeyekyuu.com/player/?PlayerID=23925134"">Martinez, Raidel</a>",P,58,0.857,1,5,1,0,,23925134
2025,Regular Season,Saitama Seibu Lions,61,"<a href=""https://proeyekyuu.com/player/?PlayerID=31035136"">Taira, Kaima</a>",P,54,1.000,5,6,0,0,,31035136
2025,Regular Season,Chiba Lotte Marines,34,"<a href=""https://proeyekyuu.com/player/?PlayerID=31035157"">Takano, Shuta</a>",P,37,0.875,1,6,1,0,,31035157
2025,Regular Season,Hiroshima Toyo Carp,27,"<a href=""https://proeyekyuu.com/player/?PlayerID=31135114"">Aizawa, Tsubasa</a>",C,24,1.000,114,7,0,1,2,31135114
2025,Climax Series - Final Stage,Hokkaido Nippon-Ham Fighters,8,"<a href=""https://proeyekyuu.com/player/?PlayerID=31135130"">Asama, Daiki</a>",OF,1,1.000,1,0,0,0,,31135130
2025,Regular Season,Hokkaido Nippon-Ham Fighters,8,"<a href=""https://proeyekyuu.com/player/?PlayerID=31135130"">Asama, Daiki</a>",1B,2,1.000,11,0,0,0,,31135130
2025,Regular Season,Hokkaido Nippon-Ham Fighters,8,"<a href=""https://proeyekyuu.com/player/?PlayerID=31135130"">Asama, Daiki</a>",OF,33,1.000,53,0,0,0,,31135130
2025,Regular Season,Hiroshima Toyo Carp,9,"<a href=""https://proeyekyuu.com/player/?PlayerID=31135133"">Akiyama, Shogo</a>",OF,30,0.952,59,1,3,0,,31135133
2025,Regular Season,Hiroshima Toyo Carp,48,"<a href=""https://proeyekyuu.com/player/?PlayerID=31135134"">Aduwa, Makoto</a>",P,4,1.000,3,5,0,0,,31135134
2025,Regular Season,Chiba Lotte Marines,24,"<a href=""https://proeyekyuu.com/player/?PlayerID=31135138"">Azuma, Yusuke</a>",P,6,1.000,1,0,0,0,,31135138
2025,Regular Season,Tohoku Rakuten Golden Eagles,44,"<a href=""https://proeyekyuu.com/player/?PlayerID=31235130"">Tanaka, Takaya</a>",C,11,0.950,19,0,1,0,0,31235130
2025,Regular Season,Hiroshima Toyo Carp,21,"<a href=""https://proeyekyuu.com/player/?PlayerID=31235133"">Nakazaki, Shota</a>",P,51,1.000,1,12,0,0,,31235133
2025,Climax Series - Final Stage,Hokkaido Nippon-Ham Fighters,26,"<a href=""https://proeyekyuu.com/player/?PlayerID=31235134"">Tanaka, Seigi</a>",P,2,0.000,0,0,0,0,,31235134
2025,Climax Series - First Stage,Hokkaido Nippon-Ham Fighters,26,"<a href=""https://proeyekyuu.com/player/?PlayerID=31235134"">Tanaka, Seigi</a>",P,1,0.000,0,0,0,0,,31235134
2025,Regular Season,Hokkaido Nippon-Ham Fighters,26,"<a href=""https://proeyekyuu.com/player/?PlayerID=31235134"">Tanaka, Seigi</a>",P,49,1.000,2,5,0,0,,31235134
2025,Regular Season,Tohoku Rakuten Golden Eagles,57,"<a href=""https://proeyekyuu.com/player/?PlayerID=31235151"">Takinaka, Ryota</a>",P,15,1.000,3,8,0,0,,31235151
2025,Regular Season,Hiroshima Toyo Carp,30,"<a href=""https://proeyekyuu.com/player/?PlayerID=31235159"">Takita, Kazuki</a>",P,7,1.000,1,0,0,0,,31235159
2025,Climax Series - First Stage,Orix Buffaloes,40,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335116"">Iwasaki, Sho</a>",P,2,1.000,1,0,0,0,,31335116
2025,Regular Season,Chunichi Dragons,16,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335116"">Iwasaki, Sho</a>",P,4,1.000,0,1,0,0,,31335116
2025,Regular Season,Orix Buffaloes,40,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335116"">Iwasaki, Sho</a>",P,37,0.750,0,3,1,1,,31335116
2025,Climax Series - Final Stage,Fukuoka Softbank Hawks,6,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335131"">Imamiya, Kenta</a>",SS,3,1.000,5,9,0,2,,31335131
2025,Japan Series,Fukuoka Softbank Hawks,6,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335131"">Imamiya, Kenta</a>",SS,2,1.000,3,2,0,0,,31335131
2025,Regular Season,Fukuoka Softbank Hawks,6,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335131"">Imamiya, Kenta</a>",SS,46,0.982,63,99,3,23,,31335131
2025,Regular Season,Orix Buffaloes,58,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335132"">Iguchi, Kazutomo</a>",P,5,0.000,0,0,0,0,,31335132
2025,Regular Season,Saitama Seibu Lions,48,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335134"">Imai, Tatsuya</a>",P,24,0.952,7,13,1,0,,31335134
2025,Regular Season,Hiroshima Toyo Carp,0,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335137"">Uemoto, Takashi</a>",2B,1,0.000,0,0,0,0,,31335137
2025,Regular Season,Hiroshima Toyo Carp,0,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335137"">Uemoto, Takashi</a>",3B,7,1.000,2,7,0,0,,31335137
2025,Regular Season,Hiroshima Toyo Carp,0,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335137"">Uemoto, Takashi</a>",OF,4,1.000,2,0,0,0,,31335137
2025,Climax Series - Final Stage,Hanshin Tigers,13,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335139"">Iwazaki, Suguru</a>",P,2,0.000,0,0,0,0,,31335139
2025,Japan Series,Hanshin Tigers,13,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335139"">Iwazaki, Suguru</a>",P,2,1.000,0,1,0,0,,31335139
2025,Regular Season,Hanshin Tigers,13,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335139"">Iwazaki, Suguru</a>",P,53,1.000,0,5,0,2,,31335139
2025,Regular Season,Hanshin Tigers,32,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335151"">Inoue, Kouta</a>",OF,1,0.000,0,0,0,0,,31335151
2025,Regular Season,Orix Buffaloes,032,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335157"">Iriyama, Kaito</a>",P,15,1.000,0,1,0,0,,31335157
2025,Regular Season,Yokohama DeNA Baystars,55,"<a href=""https://proeyekyuu.com/player/?PlayerID=31335159"">Inoue, Kento</a>",OF,8,1.000,10,0,0,0,,31335159
2025,Climax Series - Final Stage,Hokkaido Nippon-Ham Fighters,5,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435138"">Nomura, Yuki</a>",OF,1,0.000,0,0,0,0,,31435138
2025,Climax Series - First Stage,Hokkaido Nippon-Ham Fighters,5,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435138"">Nomura, Yuki</a>",OF,1,0.500,1,0,1,0,,31435138
2025,Regular Season,Hokkaido Nippon-Ham Fighters,5,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435138"">Nomura, Yuki</a>",1B,60,0.996,422,21,2,28,,31435138
2025,Regular Season,Hokkaido Nippon-Ham Fighters,5,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435138"">Nomura, Yuki</a>",3B,4,1.000,0,1,0,0,,31435138
2025,Regular Season,Hokkaido Nippon-Ham Fighters,5,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435138"">Nomura, Yuki</a>",OF,37,1.000,59,0,0,0,,31435138
2025,Japan Series,Hanshin Tigers,61,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435155"">Toyoda, Hiroshi</a>",OF,1,0.000,0,0,0,0,,31435155
2025,Regular Season,Hanshin Tigers,61,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435155"">Toyoda, Hiroshi</a>",OF,9,1.000,14,1,0,0,,31435155
2025,Climax Series - Final Stage,Hokkaido Nippon-Ham Fighters,58,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435157"">Narama, Taiki</a>",2B,1,1.000,0,1,0,0,,31435157
2025,Climax Series - Final Stage,Hokkaido Nippon-Ham Fighters,58,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435157"">Narama, Taiki</a>",3B,2,0.000,0,0,0,0,,31435157
2025,Climax Series - Final Stage,Hokkaido Nippon-Ham Fighters,58,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435157"">Narama, Taiki</a>",SS,1,0.000,0,0,0,0,,31435157
2025,Climax Series - First Stage,Hokkaido Nippon-Ham Fighters,58,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435157"">Narama, Taiki</a>",3B,1,0.000,0,0,0,0,,31435157
2025,Regular Season,Hokkaido Nippon-Ham Fighters,58,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435157"">Narama, Taiki</a>",2B,25,1.000,23,37,0,7,,31435157
2025,Regular Season,Hokkaido Nippon-Ham Fighters,58,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435157"">Narama, Taiki</a>",3B,58,1.000,13,23,0,0,,31435157
2025,Regular Season,Hokkaido Nippon-Ham Fighters,58,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435157"">Narama, Taiki</a>",SS,16,1.000,8,24,0,3,,31435157
2025,Regular Season,Hiroshima Toyo Carp,17,"<a href=""https://proeyekyuu.com/player/?PlayerID=31435159"">Tsunehiro, Hayato</a>",P,7,1.000,0,3,0,0,,31435159
2025,Regular Season,Chiba Lotte Marines,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=31535132"">Takeda, Aito</a>",OF,11,1.000,10,0,0,0,,31535132
2025,Climax Series - Final Stage,Hanshin Tigers,38,"<a href=""https://proeyekyuu.com/player/?PlayerID=31535138"">Obata, Ryuhei</a>",SS,1,1.000,2,2,0,0,,31535138
2025,Japan Series,Hanshin Tigers,38,"<a href=""https://proeyekyuu.com/player/?PlayerID=31535138"">Obata, Ryuhei</a>",SS,4,1.000,6,9,0,3,,31535138
2025,Regular Season,Hanshin Tigers,38,"<a href=""https://proeyekyuu.com/player/?PlayerID=31535138"">Obata, Ryuhei</a>",SS,84,0.978,142,210,8,40,,31535138
2025,Regular Season,Chunichi Dragons,20,"<a href=""https://proeyekyuu.com/player/?PlayerID=31635110"">Wakui, Hideaki</a>",P,12,1.000,3,11,0,2,,31635110
2025,Climax Series - Final Stage,Hanshin Tigers,36,"<a href=""https://proeyekyuu.com/player/?PlayerID=31635134"">Hatake, Seishu</a>",P,1,1.000,0,1,0,0,,31635134
2025,Japan Series,Hanshin Tigers,36,"<a href=""https://proeyekyuu.com/player/?PlayerID=31635134"">Hatake, Seishu</a>",P,2,0.000,0,0,0,0,,31635134
2025,Regular Season,Hanshin Tigers,36,"<a href=""https://proeyekyuu.com/player/?PlayerID=31635134"">Hatake, Seishu</a>",P,12,1.000,0,1,0,0,,31635134
2025,Regular Season,Chiba Lotte Marines,1,"<a href=""https://proeyekyuu.com/player/?PlayerID=31635138"">Fujiwara, Kyota</a>",OF,103,0.988,250,4,3,1,,31635138
2025,Regular Season,Tohoku Rakuten Golden Eagles,26,"<a href=""https://proeyekyuu.com/player/?PlayerID=31635150"">Nakagomi, Haruto</a>",P,7,1.000,0,1,0,0,,31635150
2025,Regular Season,Chiba Lotte Marines,56,"<a href=""https://proeyekyuu.com/player/?PlayerID=31635153"">Nakamori, Shunsuke</a>",P,25,1.000,0,2,0,0,,31635153
2025,Regular Season,Yokohama DeNA Baystars,035,"<a href=""https://proeyekyuu.com/player/?PlayerID=31635157"">Hashimoto, Tatsuya</a>",P,1,0.000,0,0,0,0,,31635157
2025,Climax Series - First Stage,Yomiuri Giants,17,"<a href=""https://proeyekyuu.com/player/?PlayerID=31635159"">Nishidate, Yuhi</a>",P,1,0.000,0,0,0,0,,31635159
2025,Regular Season,Yomiuri Giants,17,"<a href=""https://proeyekyuu.com/player/?PlayerID=31635159"">Nishidate, Yuhi</a>",P,15,1.000,4,9,0,0,,31635159
2025,Regular Season,Chunichi Dragons,35,"<a href=""https://proeyekyuu.com/player/?PlayerID=31735132"">Kinoshita, Takuya</a>",C,38,1.000,219,19,0,1,0,31735132
2025,Climax Series - Final Stage,Hanshin Tigers,0,"<a href=""https://proeyekyuu.com/player/?PlayerID=31735138"">Kinami, Seiya</a>",SS,1,1.000,1,3,0,0,,31735138
2025,Japan Series,Hanshin Tigers,0,"<a href=""https://proeyekyuu.com/player/?PlayerID=31735138"">Kinami, Seiya</a>",SS,1,1.000,1,3,0,1,,31735138
2025,Regular Season,Hanshin Tigers,0,"<a href=""https://proeyekyuu.com/player/?PlayerID=31735138"">Kinami, Seiya</a>",3B,6,0.923,5,7,1,0,,31735138
2025,Regular Season,Hanshin Tigers,0,"<a href=""https://proeyekyuu.com/player/?PlayerID=31735138"">Kinami, Seiya</a>",SS,44,0.952,51,109,8,15,,31735138
2025,Regular Season,Fukuoka Softbank Hawks,95,"<a href=""https://proeyekyuu.com/player/?PlayerID=31735150"">Kawaguchi, Toya</a>",P,5,1.000,0,1,0,0,,31735150
2025,Regular Season,Tokyo Yakult Swallows,18,"<a href=""https://proeyekyuu.com/player/?PlayerID=31735151"">Okugawa, Yasunobu</a>",P,18,1.000,5,12,0,0,,31735151
