Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
2025,Climax Series - Final Stage,Fukuoka Softbank Hawks,26,"<a href=""https://proeyekyuu.com/player/?PlayerID=01305157"">Ohtsu, Ryosuke</a>",P,1,0.000,0,0,0,0,,01305157
2025,Japan Series,Fukuoka Softbank Hawks,26,"<a href=""https://proeyekyuu.com/player/?PlayerID=01305157"">Ohtsu, Ryosuke</a>",P,1,1.000,1,0,0,0,,01305157
2025,Regular Season,Fukuoka Softbank Hawks,26,"<a href=""https://proeyekyuu.com/player/?PlayerID=01305157"">Ohtsu, Ryosuke</a>",P,12,1.000,4,11,0,3,,01305157
2025,Regular Season,Hiroshima Toyo Carp,37,"<a href=""https://proeyekyuu.com/player/?PlayerID=01405130"">Noma, Takayoshi</a>",OF,36,1.000,40,2,0,0,,01405130
2025,Regular Season,Hiroshima Toyo Carp,44,"<a href=""https://proeyekyuu.com/player/?PlayerID=01405138"">Hayashi, Kota</a>",1B,7,1.000,45,2,0,3,,01405138
2025,Regular Season,Hiroshima Toyo Carp,44,"<a href=""https://proeyekyuu.com/player/?PlayerID=01405138"">Hayashi, Kota</a>",3B,2,0.000,0,0,0,0,,01405138
2025,Regular Season,Hiroshima Toyo Carp,44,"<a href=""https://proeyekyuu.com/player/?PlayerID=01405138"">Hayashi, Kota</a>",OF,3,0.750,3,0,1,0,,01405138
2025,Regular Season,Yokohama DeNA Baystars,38,"<a href=""https://proeyekyuu.com/player/?PlayerID=01405139"">Mori, Yuito</a>",P,2,0.000,0,0,0,0,,01405139
2025,Regular Season,Tokyo Yakult Swallows,54,"<a href=""https://proeyekyuu.com/player/?PlayerID=01405150"">Tanaka, Haruto</a>",SS,2,1.000,8,5,0,1,,01405150
2025,Regular Season,Hiroshima Toyo Carp,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=01405155"">Nakamura, Kento</a>",1B,1,1.000,7,0,0,0,,01405155
2025,Regular Season,Hiroshima Toyo Carp,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=01405155"">Nakamura, Kento</a>",OF,1,1.000,3,0,0,0,,01405155
2025,Regular Season,Tohoku Rakuten Golden Eagles,58,"<a href=""https://proeyekyuu.com/player/?PlayerID=01505118"">Karashima, Wataru</a>",P,2,0.000,0,0,0,0,,01505118
2025,Climax Series - First Stage,Yomiuri Giants,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=01505132"">Okoye, Louis</a>",OF,1,1.000,2,0,0,0,,01505132
2025,Regular Season,Yomiuri Giants,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=01505132"">Okoye, Louis</a>",OF,53,0.966,56,0,2,0,,01505132
2025,Regular Season,Orix Buffaloes,49,"<a href=""https://proeyekyuu.com/player/?PlayerID=01505150"">Katayama, Raiku</a>",P,21,0.857,1,5,1,0,,01505150
2025,Climax Series - Final Stage,Fukuoka Softbank Hawks,47,"<a href=""https://proeyekyuu.com/player/?PlayerID=01505151"">Ohzeki, Tomohisa</a>",P,1,0.000,0,0,0,0,,01505151
2025,Regular Season,Fukuoka Softbank Hawks,47,"<a href=""https://proeyekyuu.com/player/?PlayerID=01505151"">Ohzeki, Tomohisa</a>",P,24,0.926,7,18,2,1,,01505151
2025,Regular Season,Hokkaido Nippon-Ham Fighters,4,"<a href=""https://proeyekyuu.com/player/?PlayerID=01505155"">Kamikawabata, Daigo</a>",2B,32,1.000,41,43,0,8,,01505155
2025,Regular Season,Hokkaido Nippon-Ham Fighters,4,"<a href=""https://proeyekyuu.com/player/?PlayerID=01505155"">Kamikawabata, Daigo</a>",SS,5,1.000,2,4,0,0,,01505155
2025,Regular Season,Tokyo Yakult Swallows,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=01505157"">Kitamura, Keigo</a>",1B,9,1.000,22,4,0,4,,01505157
2025,Regular Season,Tokyo Yakult Swallows,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=01505157"">Kitamura, Keigo</a>",2B,27,0.980,40,59,2,10,,01505157
2025,Regular Season,Tokyo Yakult Swallows,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=01505157"">Kitamura, Keigo</a>",3B,7,0.900,3,6,1,0,,01505157
2025,Regular Season,Tokyo Yakult Swallows,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=01505157"">Kitamura, Keigo</a>",OF,1,0.000,0,0,0,0,,01505157
2025,Regular Season,Saitama Seibu Lions,31,"<a href=""https://proeyekyuu.com/player/?PlayerID=01605132"">Hiranuma, Shota</a>",1B,10,0.986,64,4,1,8,,01605132
2025,Regular Season,Saitama Seibu Lions,31,"<a href=""https://proeyekyuu.com/player/?PlayerID=01605132"">Hiranuma, Shota</a>",2B,1,0.000,0,0,0,0,,01605132
2025,Regular Season,Saitama Seibu Lions,31,"<a href=""https://proeyekyuu.com/player/?PlayerID=01605132"">Hiranuma, Shota</a>",3B,11,1.000,5,10,0,1,,01605132
2025,Regular Season,Saitama Seibu Lions,31,"<a href=""https://proeyekyuu.com/player/?PlayerID=01605132"">Hiranuma, Shota</a>",OF,18,1.000,23,0,0,0,,01605132
2025,Regular Season,Chiba Lotte Marines,15,"<a href=""https://proeyekyuu.com/player/?PlayerID=01605133"">Mima, Manabu</a>",P,1,0.000,0,0,0,0,,01605133
2025,Regular Season,Orix Buffaloes,65,"<a href=""https://proeyekyuu.com/player/?PlayerID=01605136"">Fukuda, Shuhei</a>",OF,16,1.000,37,1,0,0,,01605136
