Season,Game Type,Team,#,Name,W,L,S,HLD,HP,G,IP,WPCT,ERA,WHIP,R/9,R/G,H/9,HR/9,K/9,BB/9,K/BB,BF,H,R,ER,HR,K,BB,IBB,DB,WP,BLK,CG,SHO,No BB,GS,GF,PlayerID
1962,Regular Season,Yomiuri Giants,12,"Shibata, Isao",0,2,,,,6,11.0,0.000,9.820,1.818,9.818,2.000,13.091,4.091,7.364,3.273,2.250,53,16,12,12,5,9,4,,1,0,0,0,0,0,3,3,11013825
1962,Regular Season,Hankyu Braves,35,"Makita, Masahiko",0,0,,,,3,4.2,0.000,1.800,0.857,1.929,0.333,5.786,0.000,7.714,1.929,4.000,19,3,1,1,0,4,1,,0,1,0,0,0,0,0,2,11213806
1962,Regular Season,Yomiuri Giants,20,"Horimoto, Ritsuo",7,6,,,,26,109.0,0.538,2.810,1.248,3.303,1.538,8.422,0.908,4.789,2.807,1.706,452,102,40,34,11,58,34,,0,0,0,2,2,0,19,3,11213821
1962,Regular Season,Hanshin Tigers,17,"Ina, Tsutomu",3,2,,,,21,58.1,0.600,2.440,1.303,2.777,0.857,7.714,0.154,5.400,4.011,1.346,241,50,18,16,1,35,26,,2,4,0,0,0,0,11,2,11313807
1962,Regular Season,Chunichi Dragons,27,"Mizutani, Hisanobu",1,0,,,,4,8.1,1.000,0.000,0.480,0.000,0.000,3.240,0.000,9.720,1.080,9.000,29,3,0,0,0,9,1,,0,0,0,0,0,0,1,2,11413808
1962,Regular Season,Mainichi Daiei Orions,19,"Ono, Shoichi",9,15,,,,44,177.2,0.375,3.340,1.362,3.901,1.750,7.953,0.405,6.129,4.306,1.424,762,157,77,66,8,121,85,,6,3,0,6,1,0,20,15,11513802
1962,Regular Season,Nishitetsu Lions,44,"Ogino, Kazuo",0,1,,,,1,0.1,0.000,9.000,3.000,27.000,1.000,0.000,0.000,0.000,27.000,0.000,2,0,1,1,0,0,1,,0,0,0,0,0,0,0,0,11713825
1962,Regular Season,Toei Flyers,49,"Miyazaki, Shoji",1,1,,,,12,25.1,0.500,2.420,0.908,2.842,0.667,7.816,1.421,4.974,0.355,14.000,98,22,8,7,4,14,1,,2,1,0,1,1,1,3,5,13113825
1962,Regular Season,Toei Flyers,24,"Yamamoto, Yoshiji",0,3,,,,33,44.2,0.000,4.000,1.478,5.843,0.879,10.075,1.209,5.440,3.224,1.688,199,50,29,20,6,27,16,,0,0,0,0,0,0,11,2,13513809
1962,Regular Season,Nankai Hawks,55,"Morinaka, Chikara",10,8,,,,56,144.2,0.556,3.720,1.251,4.541,1.304,8.710,0.995,5.848,2.551,2.293,606,140,73,60,16,94,41,,6,2,0,0,0,0,11,19,21223821
1962,Regular Season,Mainichi Daiei Orions,45,"Tsujino, Kinya",0,0,,,,1,2.0,0.000,9.000,3.000,9.000,2.000,22.500,0.000,4.500,4.500,1.000,11,5,2,2,0,1,1,,0,0,0,0,0,0,0,0,21223825
1962,Regular Season,Taiyo Whales,14,"Oishi, Masahiko",1,0,,,,11,12.1,1.000,1.380,1.297,2.189,0.273,7.297,0.000,4.378,4.378,1.000,50,10,3,2,0,6,6,,1,0,0,0,0,0,1,4,21323809
1962,Regular Season,Hanshin Tigers,37,"Ota, Koichi",0,2,,,,23,32.1,0.000,2.180,0.866,3.062,0.478,6.680,0.278,5.010,1.113,4.500,125,24,11,8,1,18,4,,2,0,0,0,0,0,1,4,21323823
1962,Regular Season,Toei Flyers,36,"Ishihara, Sekio",2,2,,,,10,29.1,0.500,1.800,0.886,1.841,0.600,6.136,0.614,5.830,1.841,3.167,117,20,6,6,2,19,6,,4,1,0,0,0,0,4,1,21323825
1962,Regular Season,Nankai Hawks,20,"Kanehiko, Takashige",0,1,,,,15,32.0,0.000,5.340,1.375,6.469,1.533,10.969,1.125,4.219,1.406,3.000,136,39,23,19,4,15,5,,0,0,0,0,0,0,2,2,21523808
1962,Regular Season,Mainichi Daiei Orions,15,"Kurimoto, Mitsuaki",1,4,,,,15,41.1,0.200,5.140,1.306,6.532,2.000,10.669,0.871,3.484,1.089,3.200,177,49,30,24,4,16,5,,1,0,0,0,0,0,1,2,21523823
1962,Regular Season,Toei Flyers,19,"Ozaki, Yukio",20,9,,,,49,207.2,0.690,2.420,1.122,3.120,1.469,7.368,0.433,8.494,2.730,3.111,851,170,72,56,10,196,63,,9,5,0,9,4,1,19,25,21523825
1962,Regular Season,Taiyo Whales,16,"Suzuki, Takashi",14,8,,,,56,191.1,0.636,2.530,1.024,3.246,1.232,7.103,0.659,7.385,2.117,3.489,769,151,69,54,14,157,45,,9,0,0,7,5,1,31,8,21723806
1962,Regular Season,Yomiuri Giants,10,"Horiuchi, Sho",6,8,,,,35,112.2,0.429,1.670,0.896,2.317,0.829,5.911,0.399,6.630,2.157,3.074,430,74,29,21,5,83,27,,1,2,0,1,0,1,6,20,23323800
1962,Regular Season,Mainichi Daiei Orions,21,"Hasegawa, Takeshi",0,0,,,,1,0.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,31033821
1962,Regular Season,Kokutetsu Swallows,24,"Shibutani, Seiji",6,8,,,,42,133.0,0.429,3.050,1.158,3.451,1.214,7.511,1.353,5.075,2.910,1.744,536,111,51,45,20,75,43,,6,2,0,4,3,1,17,13,31033825
1962,Regular Season,Hiroshima Carp,32,"Takimura, Shuhei",0,0,,,,2,2.0,0.000,9.000,2.000,9.000,1.000,9.000,0.000,4.500,9.000,0.500,9,2,2,2,0,1,2,,0,0,0,0,0,0,0,1,31233825
1962,Regular Season,Kintetsu Buffaloes,11,"Esaki, Teruo",0,0,,,,2,2.2,0.000,9.000,3.000,23.625,3.500,20.250,6.750,6.750,6.750,1.000,16,6,7,3,2,2,2,,0,1,0,0,0,0,0,0,31333804
1962,Regular Season,Hiroshima Carp,11,"Ikeda, Hidetoshi",16,16,,,,57,236.0,0.500,2.440,1.102,2.784,1.281,7.513,0.458,5.797,2.403,2.413,939,197,73,64,12,152,63,,3,4,0,12,6,3,27,21,31333825
1962,Regular Season,Hiroshima Carp,13,"Ryu, Kenichi",4,9,,,,60,153.0,0.308,3.290,1.183,3.529,1.000,8.353,0.941,3.588,2.294,1.564,622,142,60,56,16,61,39,,3,1,0,1,1,0,9,19,31433821
1962,Regular Season,Hanshin Tigers,27,"Nishimura, Shigekazu",0,0,,,,3,5.0,0.000,1.800,1.400,1.800,0.333,9.000,0.000,5.400,3.600,1.500,22,5,1,1,0,3,2,,0,0,0,0,0,0,0,2,31633825
1962,Regular Season,Chunichi Dragons,20,"Gondo, Hiroshi",30,17,,,,61,362.1,0.638,2.330,1.038,2.683,1.770,7.626,0.646,5.266,1.714,3.072,1421,307,108,94,26,212,69,,3,5,0,23,6,3,39,18,31733823
1962,Regular Season,Chunichi Dragons,24,"Kadoka, Nobuyuki",10,10,,,,53,203.1,0.500,3.000,0.998,3.364,1.434,7.525,0.531,3.541,1.461,2.424,802,170,76,68,12,80,33,,2,0,1,5,3,2,23,9,31733825
1962,Regular Season,Chunichi Dragons,19,"Nakayama, Yoshiro",0,0,,,,28,28.0,0.000,2.890,1.143,3.214,0.357,8.357,0.321,8.679,1.929,4.500,112,26,10,9,1,27,6,,0,1,0,0,0,0,1,13,31833800
1962,Regular Season,Hanshin Tigers,47,"Koyama, Masaaki",27,11,,,,47,352.2,0.711,1.660,0.927,1.965,1.638,6.839,0.485,6.890,1.506,4.576,1354,268,77,65,19,270,59,,7,1,0,26,13,10,40,6,31933807
1962,Regular Season,Mainichi Daiei Orions,12,"Sakai, Katsuji",11,10,,,,49,151.2,0.524,4.260,1.240,4.629,1.592,7.536,1.246,4.510,3.620,1.246,640,127,78,72,21,76,61,,6,0,0,5,2,0,21,13,31933808
1962,Regular Season,Taiyo Whales,56,"Sasaki, Koichiro",1,0,,,,4,10.1,1.000,4.910,0.968,5.226,1.500,7.839,0.871,5.226,0.871,6.000,42,9,6,6,1,6,1,,1,0,0,0,0,0,0,0,31933825
1962,Regular Season,Yomiuri Giants,24,"Miyata, Yukinori",2,3,,,,28,74.2,0.400,2.520,1.018,3.134,0.929,7.835,0.723,5.545,1.326,4.182,295,65,26,21,6,46,11,,0,1,0,1,0,0,4,7,33133825
1962,Regular Season,Mainichi Daiei Orions,18,"Wako, Tomo",15,13,,,,55,237.0,0.536,2.730,1.105,3.456,1.655,7.557,0.759,6.608,2.392,2.762,974,199,91,72,20,174,63,,6,5,0,8,0,1,30,14,33333802
1962,Regular Season,Toei Flyers,15,"Yoshida, Sadataka",0,0,,,,1,2.0,0.000,0.000,1.000,4.500,1.000,4.500,0.000,4.500,4.500,1.000,9,1,1,0,0,1,1,,0,0,0,0,0,0,0,1,33333825
1962,Regular Season,Hanshin Tigers,51,"Ishikawa, Yoshiteru",0,2,,,,16,25.2,0.000,3.810,1.481,5.260,0.938,11.221,0.000,2.455,2.104,1.167,110,32,15,11,0,7,6,,0,0,0,0,0,0,2,9,41143804
1962,Regular Season,Hankyu Braves,20,"Ishii, Shigeo",4,9,,,,47,147.1,0.308,4.260,1.283,4.581,1.596,8.369,0.489,5.986,3.176,1.885,622,137,75,70,8,98,52,,5,1,0,1,0,0,19,10,41143806
1962,Regular Season,Kokutetsu Swallows,12,"Inagaki, Hiroaki",0,0,,,,2,3.0,0.000,12.000,2.000,12.000,2.000,15.000,6.000,6.000,3.000,2.000,13,5,4,4,2,2,1,,0,0,0,0,0,0,0,2,41143823
1962,Regular Season,Yomiuri Giants,18,"Fujita, Motoshi",13,11,,,,42,199.2,0.542,2.030,1.117,2.479,1.310,7.437,0.406,4.643,2.614,1.776,805,165,55,45,9,103,58,,4,5,0,6,2,1,25,13,41243804
1962,Regular Season,Hiroshima Carp,22,"Oishi, Kiyoshi",20,18,,,,58,331.1,0.526,2.680,1.102,2.825,1.793,7.198,0.815,5.677,2.716,2.090,1343,265,104,99,30,209,100,,13,3,0,21,3,2,37,13,41343808
1962,Regular Season,Taiyo Whales,15,"Inagawa, Makoto",12,7,,,,55,191.0,0.632,1.980,1.063,2.309,0.891,5.937,0.613,7.068,3.628,1.948,762,126,49,42,13,150,77,,5,4,0,4,2,1,26,13,41343825
1962,Regular Season,Nishitetsu Lions,23,"Hata, Takayuki",0,0,,,,9,20.1,0.000,6.430,1.574,6.639,1.667,11.951,1.770,7.082,2.213,3.200,94,27,15,15,4,16,5,,0,1,0,0,0,0,5,2,41443802
1962,Regular Season,Kokutetsu Swallows,37,"Murata, Genichi",12,16,,,,40,216.1,0.429,2.360,1.049,3.037,1.825,8.279,0.582,4.243,1.165,3.643,855,199,73,57,14,102,28,,1,0,0,12,3,5,28,6,41443804
1962,Regular Season,Chunichi Dragons,36,"Newcombe, Don",0,0,,,,1,4.0,0.000,4.500,1.000,4.500,2.000,4.500,0.000,9.000,4.500,2.000,16,2,2,2,0,4,2,,0,0,0,0,0,0,1,0,41443825
1962,Regular Season,Toei Flyers,16,"Kanayama, Katsumi",0,1,,,,4,7.1,0.000,5.630,2.045,7.364,1.500,17.182,1.227,1.227,1.227,1.000,37,14,6,5,1,1,1,,0,0,0,0,0,0,3,0,41543807
